ID,WBS Nivel 2 / Tarea Nivel 3,Tipo,Duración (Valor),Unidad (Días/Semanas/Meses),Responsable / Equipo,29/08/2026,Fecha Fin,Estado,Dependencia,Entregables Asociados
1,INICIO Y PLANIFICACIÓN,Entregable Nivel 2,9,Días,Ambos,29/08/2026,2026-09-06,Completado,—,Base de planificación
"1,1",Definir metodología de trabajo,Tarea Nivel 3,1,Días,Miguel,29/08/2026,2026-08-29,Completado,—,Metodología acordada
"1,2",Definir herramientas y repositorios,Tarea Nivel 3,1,Días,Saul,31/08/2026,2026-08-31,Completado,CC 1.1,Herramientas configuradas
"1,3",Elaborar mapa de interesados,Tarea Nivel 3,1,Días,Miguel,31/08/2026,2026-08-31,Completado,FC 1.1,Mapa de interesados
"1,4","Revisar propósito, objetivos y alcance",Tarea Nivel 3,1,Días,Ambos,01/09/2026,2026-09-01,Completado,FC 1.1,Alcance validado
"1,5",Definir esquema de comunicación del equipo,Tarea Nivel 3,1,Días,Saul,01/09/2026,2026-09-01,Completado,CC 1.3,Esquema de comunicación
"1,6",Preparar estructura documental del proyecto,Tarea Nivel 3,1,Días,Miguel,02/09/2026,2026-09-02,Completado,CC 1.4,Estructura documental
"1,7",Preparar ambiente inicial de desarrollo,Tarea Nivel 3,2,Días,Saul,03/09/2026,2026-09-04,Completado,FC 1.2,Entorno inicial
"1,8",Revisión de planificación inicial,Tarea Nivel 3,1,Días,Ambos,03/09/2026,2026-09-03,Completado,"FF 1.5, 1.6, 1.7",Planificación inicial
2,REQUISITOS Y DISEÑO FUNCIONAL,Entregable Nivel 2,16,Días,Ambos,04/09/2026,2026-09-19,Completado,FC 1.8,Especificación funcional
"2,1",Levantamiento de requisitos funcionales,Tarea Nivel 3,3,Días,Miguel,04/09/2026,2026-09-06,Completado,FC 1.8,Requisitos funcionales
"2,2",Levantamiento de requisitos no funcionales,Tarea Nivel 3,3,Días,Saul,04/09/2026,2026-09-06,Completado,CC 2.1,Requisitos no funcionales
"2,3",Definir reglas de negocio,Tarea Nivel 3,2,Días,Ambos,07/09/2026,2026-09-08,Completado,CC 2.1,Reglas de negocio
"2,4",Definir flujo de registro de estudiantes,Tarea Nivel 3,1,Días,Miguel,08/09/2026,2026-09-08,Completado,CC 2.1,Flujo de registro de estudiantes
"2,5",Definir flujo de creación de qr,Tarea Nivel 3,2,Días,Saul,08/09/2026,2026-09-09,Completado,CC 2.3,Flujo creación del QR
"2,6","Definir flujo de asistencia de estudiantes, docentes y personal administrativo",Tarea Nivel 3,2,Días,Saul,09/09/2026,2026-09-10,Completado,FC 2.5,Flujo de asistencia por tipo de usuario
"2,7",Definir flujo de incidencias y clasificacion de reportes,Tarea Nivel 3,2,Días,Miguel,10/09/2026,2026-09-11,Completado,CC 2.4,Flujo de incidencias y clasificación
"2,8",Definir flujo y reglas de reportes escolares,Tarea Nivel 3,3,Días,Miguel,11/09/2026,2026-09-13,Completado,CC 2.7,Flujo y reglas de reportes
"2,9",Definir flujo de comunicación con familiares a partir de reportes autorizados,Tarea Nivel 3,2,Días,Saul,13/09/2026,2026-09-14,Completado,FC 2.3,Flujo de comunicación
"2,10",Elaborar historias de usuario,Tarea Nivel 3,3,Días,Miguel,15/09/2026,2026-09-17,Completado,"FC 2.1, 2.3",Historias de usuario
"2,11",Definir criterios de aceptación específicos,Tarea Nivel 3,2,Días,Ambos,18/09/2026,2026-09-19,Completado,FC 2.10,Criterios de aceptación
"2,12",Validar requisitos con institución,Tarea Nivel 3,2,Días,Ambos,19/09/2026,2026-09-20,Completado,FC 2.11,Requisitos aprobados
3,BASE FUNCIONAL Y GENERACIÓN DE QR,Entregable Nivel 2,25,Días,Ambos,2026-09-21,2026-10-15,En Proceso,FC actividades H1,Sistema QR funcional + códigos validados
3.1,Diseñar arquitectura inicial,Tarea Nivel 3,2,Días,Saul,22/09/2026,2026-09-23,Completado,FC 2.12,Arquitectura inicial
3.2,Diseñar modelo de datos inicial,Tarea Nivel 3,2,Días,Saul,22/09/2026,2026-09-23,Completado,CC 3.1,Modelo de datos
3.3,Configurar proyecto Next.js/TypeScript,Tarea Nivel 3,2,Días,Miguel,24/09/2026,2026-09-25,No Iniciado,FC 3.1,Proyecto base
3.4,Configurar PostgreSQL,Tarea Nivel 3,2,Días,Saul,24/09/2026,2026-09-25,Completado,FC 3.2,BD inicial
3.5,Implementar backend/API base,Tarea Nivel 3,3,Días,Saul,27/09/2026,2026-09-29,Completado,"FC 3.3, 3.4",API base
3.6,Implementar modelo de estudiantes,Tarea Nivel 3,2,Días,Saul,29/09/2026,2026-09-30,Completado,FC 3.4,Modelo de estudiantes
3.7,Implementar CRUD de estudiantes,Tarea Nivel 3,3,Días,Miguel,30/09/2026,2026-10-02,Completado,CC 3.6,Gestión de estudiantes
3.8,Implementar generación de QR,Tarea Nivel 3,2,Días,Saul,10/01/2026,2026-10-02,Completado,FC 3.6,Generador QR
3.9,Asociar QR con estudiante,Tarea Nivel 3,1,Días,Saul,10/01/2026,2026-10-01,Completado,FC 3.8,Asociación QR
3.10,Implementar validación de unicidad,Tarea Nivel 3,1,Días,Saul,10/02/2026,2026-10-02,Completado,FC 3.9,Validación de unicidad
3.11,Implementar exportación de QR,Tarea Nivel 3,1,Días,Miguel,10/02/2026,2026-10-02,En Proceso,CC 3.8,Archivos QR
3.12,Pruebas de legibilidad,Tarea Nivel 3,1,Días,Miguel,10/05/2026,2026-10-05,En Proceso,FC 3.8,Evidencias de lectura
3.13,Pruebas de asociación y duplicados,Tarea Nivel 3,1,Días,Saul,10/06/2026,2026-10-06,Completado,FC 3.10,Evidencias de integridad
3.14,Corrección de errores H01,Tarea Nivel 3,2,Días,Ambos,10/08/2026,2026-10-09,En Proceso,"FC 3.12, 3.13",Versión corregida
3.15,Validación institucional QR,Tarea Nivel 3,2,Días,Ambos,10/10/2026,2026-10-11,No Iniciado,FC 3.14,Validación institucional
3.16,Preparar lote inicial de códigos,Tarea Nivel 3,2,Días,Miguel,13/10/2026,2026-10-14,En Proceso,FC 3.15,Lote QR
3.17,Verificación final de KPI-01 a KPI-06,Tarea Nivel 3,1,Días,Ambos,14/10/2026,2026-10-14,En Proceso,FC 3.16,Evidencias H01
H01,HITO 01 — Base funcional y generación de QR,Hito,,,Ambos,15/10/2026,,No completado,FC H1,KPI-01 a KPI-06 validados
4,SISTEMA WEB INTEGRADO,Entregable Nivel 2,3,Semanas,Ambos,2026-10-17,2026-11-06,No Iniciado,FC H1,Plataforma web integrada
"4,1",Diseñar autenticación,Tarea Nivel 3,2,Días,Miguel,17/10/2026,2026-10-18,No Iniciado,FC 4.1,Diseño de autenticación
"4,2",Implementar autenticación,Tarea Nivel 3,2,Días,Miguel,20/10/2026,2026-10-21,No Iniciado,FC 4.2,Login funcional
"4,3",Implementar roles y permisos,Tarea Nivel 3,3,Días,Saul,23/10/2026,2026-10-25,No Iniciado,CC 4.3,Control de acceso
